,model,rmse,channel
0,kbest+RandomForest,18.250614304041317,channel_0
1,kbest+RandomForest,13.706381889820369,channel_1
2,kbest+RandomForest,9.471319764488374,channel_2
3,kbest+RandomForest,3.351550799755759,channel_3
4,kbest+RandomForest,14.642368464629559,channel_4
5,kbest+RandomForest,13.175501719893767,channel_5
6,kbest+RandomForest,21.55355050675963,channel_6
7,kbest+RandomForest,13.790848308915997,channel_7
8,kbest+RandomForest,1.6464600219710215,channel_8
9,kbest+RandomForest,10.532334236421049,channel_9
10,kbest+RandomForest,11.575644979589846,channel_10
11,kbest+RandomForest,2.998347105556797,channel_11
12,kbest+RandomForest,6.38907060239093,channel_12
13,kbest+RandomForest,13.817286179095154,channel_13
14,kbest+RandomForest,1.3743482778003662,channel_14
15,kbest+RandomForest,13.47655055594915,channel_15
16,kbest+RandomForest,1.475284651197792,channel_16
17,kbest+RandomForest,1.1367837129350697,channel_17
